CaseID,trace,length
1-109135791,"<BOS>, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-147898401,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",6
1-165554831,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-172473423,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-182640781,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",7
1-230541365,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",7
1-236817141,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",7
1-270399977,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Completed, <EOS>",8
1-270427461,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-310231291,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-316086072,"<BOS>, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Queued, Accepted, Completed, <EOS>",9
1-320604521,"<BOS>, Accepted, Unmatched, Completed, <EOS>",3
1-322204195,"<BOS>, Queued, Accepted, Accepted, Queued, Queued, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",10
1-322581861,"<BOS>, Accepted, Unmatched, Completed, <EOS>",3
1-322980802,"<BOS>, Accepted, Completed, <EOS>",2
1-323264491,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-323462732,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",9
1-327329880,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-329451027,"<BOS>, Accepted, Unmatched, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",10
1-329647261,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",9
1-330634474,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",6
1-331478885,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",7
1-332389008,"<BOS>, Queued, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",6
1-333164156,"<BOS>, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Queued, Accepted, Queued, Accepted, Accepted, Completed, <EOS>",13
1-335260940,"<BOS>, Accepted, Queued, Accepted, Unmatched, Completed, <EOS>",5
1-337229341,"<BOS>, Unmatched, Accepted, Accepted, Completed, <EOS>",4
1-338946805,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-339798202,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-339889001,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-340984229,"<BOS>, Accepted, Unmatched, Completed, <EOS>",3
1-341002175,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-342442140,"<BOS>, Accepted, Completed, <EOS>",2
1-345132462,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",7
1-345255471,"<BOS>, Accepted, Queued, Queued, Accepted, Completed, <EOS>",5
1-347461373,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-347923966,"<BOS>, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",6
1-347924629,"<BOS>, Accepted, Accepted, Accepted, Completed, <EOS>",4
1-349857482,"<BOS>, Accepted, Completed, <EOS>",2
1-351187625,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-351314317,"<BOS>, Accepted, Queued, Accepted, Accepted, Accepted, Completed, <EOS>",6
1-351869391,"<BOS>, Accepted, Accepted, Completed, <EOS>",3
1-353818791,"<BOS>, Queued, Accepted, Queued, Accepted, Completed, <EOS>",5
1-354039443,"<BOS>, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",5
1-354090772,"<BOS>, Accepted, Accepted, Accepted, Queued, Accepted, Accepted, Accepted, Accepted, Accepted, Accepted, Completed, <EOS>",11
1-354350908,"<BOS>, Accepted, Accepted, Accepted, Completed, <EOS>",4
1-354376900,"<BOS>, Accepted, Accepted, Accepted, Completed, <EOS>",4
