CaseID,trace,length
declaration 134036,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 129645,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration APPROVED by BUDGET OWNER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",6
declaration 141077,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration REJECTED by ADMINISTRATION, Declaration REJECTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration APPROVED by BUDGET OWNER, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",9
declaration 135240,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 129651,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 129656,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 129661,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration REJECTED by ADMINISTRATION, Declaration REJECTED by EMPLOYEE, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",8
declaration 135364,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 140131,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 136615,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 136620,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 136625,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 136630,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 133051,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 141086,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 141091,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
declaration 141096,"<BOS>, Declaration SUBMITTED by EMPLOYEE, Declaration APPROVED by ADMINISTRATION, Declaration FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
