CaseID,trace,length
request for payment 148214,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment REJECTED by MISSING, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by PRE_APPROVER, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",8
request for payment 149290,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
request for payment 149216,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment REJECTED by SUPERVISOR, Request For Payment REJECTED by EMPLOYEE, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",7
request for payment 147886,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment REJECTED by MISSING, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by PRE_APPROVER, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",8
request for payment 149145,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request For Payment REJECTED by MISSING, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by PRE_APPROVER, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",8
request for payment 147597,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
request for payment 149369,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
request for payment 148223,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by PRE_APPROVER, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
request for payment 149830,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
request for payment 148629,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
request for payment 147894,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
request for payment 147898,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",4
request for payment 148633,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by PRE_APPROVER, Request For Payment FINAL_APPROVED by SUPERVISOR, Request Payment, Payment Handled, <EOS>",5
request for payment 149908,"<BOS>, Request For Payment SUBMITTED by EMPLOYEE, Request For Payment APPROVED by SUPERVISOR, Request For Payment FINAL_APPROVED by DIRECTOR, Request Payment, Payment Handled, <EOS>",5
